XsensPlugin_processed_com_acceleration_x;XsensPlugin_processed_com_acceleration_y;XsensPlugin_processed_com_acceleration_z;XsensPlugin_processed_com_position_x;XsensPlugin_processed_com_position_y;XsensPlugin_processed_com_position_z;XsensPlugin_processed_com_velocity_x;XsensPlugin_processed_com_velocity_y;XsensPlugin_processed_com_velocity_z;t
0.374855;-0.731559;-0.0971706;-0.783045;0.174571;1.02003;0.0349455;-0.400342;-0.0394968;2.01
0.374855;-0.731559;-0.0971706;-0.783045;0.174571;1.02003;0.0349455;-0.400342;-0.0394968;2.015
0.374855;-0.731559;-0.0971706;-0.783045;0.174571;1.02003;0.0349455;-0.400342;-0.0394968;2.02
0.431575;-0.864412;-0.13262;-0.782521;0.167176;1.01932;0.0386057;-0.424873;-0.0403813;2.025
0.431575;-0.864412;-0.13262;-0.782521;0.167176;1.01932;0.0386057;-0.424873;-0.0403813;2.03
0.431575;-0.864412;-0.13262;-0.782521;0.167176;1.01932;0.0386057;-0.424873;-0.0403813;2.035
0.431575;-0.864412;-0.13262;-0.782521;0.167176;1.01932;0.0386057;-0.424873;-0.0403813;2.04
0.295884;-0.944459;-0.0951887;-0.781908;0.159496;1.01856;0.0447604;-0.448351;-0.0415868;2.045
0.295884;-0.944459;-0.0951887;-0.781908;0.159496;1.01856;0.0447604;-0.448351;-0.0415868;2.05
0.226072;-1.13174;-0.211759;-0.781246;0.151516;1.01767;0.0530341;-0.470598;-0.0457589;2.055
0.226072;-1.13174;-0.211759;-0.781246;0.151516;1.01767;0.0530341;-0.470598;-0.0457589;2.06
0.226072;-1.13174;-0.211759;-0.781246;0.151516;1.01767;0.0530341;-0.470598;-0.0457589;2.065
0.226072;-1.13174;-0.211759;-0.781246;0.151516;1.01767;0.0530341;-0.470598;-0.0457589;2.07
0.435545;-0.998432;-0.309201;-0.780495;0.143252;1.01674;0.05613;-0.492667;-0.0502448;2.075
0.435545;-0.998432;-0.309201;-0.780495;0.143252;1.01674;0.05613;-0.492667;-0.0502448;2.08
0.435545;-0.998432;-0.309201;-0.780495;0.143252;1.01674;0.05613;-0.492667;-0.0502448;2.085
0.435545;-0.998432;-0.309201;-0.780495;0.143252;1.01674;0.05613;-0.492667;-0.0502448;2.09
0.886579;-0.923427;0.0105116;-0.779558;0.134727;1.01589;0.061628;-0.515515;-0.048627;2.095
0.886579;-0.923427;0.0105116;-0.779558;0.134727;1.01589;0.061628;-0.515515;-0.048627;2.1
0.73897;-1.06166;0.842941;-0.778341;0.125981;1.01509;0.0685039;-0.540662;-0.0378704;2.105
0.73897;-1.06166;0.842941;-0.778341;0.125981;1.01509;0.0685039;-0.540662;-0.0378704;2.11
0.73897;-1.06166;0.842941;-0.778341;0.125981;1.01509;0.0685039;-0.540662;-0.0378704;2.115
0.73897;-1.06166;0.842941;-0.778341;0.125981;1.01509;0.0685039;-0.540662;-0.0378704;2.12
0.346665;-1.41906;0.779674;-0.776936;0.116975;1.01438;0.0761842;-0.561459;-0.0216876;2.125
