XsensPlugin_processed_segments_Right Foot_pose_qw;XsensPlugin_processed_segments_Right Foot_pose_qx;XsensPlugin_processed_segments_Right Foot_pose_qy;XsensPlugin_processed_segments_Right Foot_pose_qz;XsensPlugin_processed_segments_Right Foot_pose_tx;XsensPlugin_processed_segments_Right Foot_pose_ty;XsensPlugin_processed_segments_Right Foot_pose_tz;t
0.668792;-0.0989339;-0.0527224;0.734949;-0.843782;-0.250065;0.151258;2.715
0.675316;-0.0793176;-0.0327853;0.732517;-0.84608;-0.286065;0.144981;2.72
0.675316;-0.0793176;-0.0327853;0.732517;-0.84608;-0.286065;0.144981;2.725
0.675316;-0.0793176;-0.0327853;0.732517;-0.84608;-0.286065;0.144981;2.73
0.680673;-0.0598974;-0.0133377;0.730013;-0.848108;-0.321114;0.139781;2.735
0.680673;-0.0598974;-0.0133377;0.730013;-0.848108;-0.321114;0.139781;2.74
0.680673;-0.0598974;-0.0133377;0.730013;-0.848108;-0.321114;0.139781;2.745
0.684291;-0.0397513;0.00557467;0.728103;-0.849753;-0.355028;0.135811;2.75
0.684291;-0.0397513;0.00557467;0.728103;-0.849753;-0.355028;0.135811;2.755
0.684291;-0.0397513;0.00557467;0.728103;-0.849753;-0.355028;0.135811;2.76
0.684291;-0.0397513;0.00557467;0.728103;-0.849753;-0.355028;0.135811;2.765
0.686793;-0.0198376;0.0239663;0.726187;-0.851127;-0.387992;0.132916;2.77
0.686793;-0.0198376;0.0239663;0.726187;-0.851127;-0.387992;0.132916;2.775
0.686793;-0.0198376;0.0239663;0.726187;-0.851127;-0.387992;0.132916;2.78
0.686793;-0.0198376;0.0239663;0.726187;-0.851127;-0.387992;0.132916;2.785
0.689526;-0.00161091;0.0424211;0.723015;-0.852552;-0.419499;0.130765;2.79
0.689526;-0.00161091;0.0424211;0.723015;-0.852552;-0.419499;0.130765;2.795
0.689526;-0.00161091;0.0424211;0.723015;-0.852552;-0.419499;0.130765;2.8
0.693204;0.0139047;0.0618456;0.717948;-0.854259;-0.449437;0.129337;2.805
0.693204;0.0139047;0.0618456;0.717948;-0.854259;-0.449437;0.129337;2.81
0.693204;0.0139047;0.0618456;0.717948;-0.854259;-0.449437;0.129337;2.815
0.697191;0.0277098;0.0813126;0.711719;-0.856016;-0.477918;0.128652;2.82
0.697191;0.0277098;0.0813126;0.711719;-0.856016;-0.477918;0.128652;2.825
0.697191;0.0277098;0.0813126;0.711719;-0.856016;-0.477918;0.128652;2.83
0.697191;0.0277098;0.0813126;0.711719;-0.856016;-0.477918;0.128652;2.835
0.700875;0.0413937;0.098663;0.705214;-0.857452;-0.50478;0.128434;2.84
0.700875;0.0413937;0.098663;0.705214;-0.857452;-0.50478;0.128434;2.845
0.704657;0.0565128;0.112698;0.698258;-0.858496;-0.530145;0.128774;2.85
0.704657;0.0565128;0.112698;0.698258;-0.858496;-0.530145;0.128774;2.855
0.704657;0.0565128;0.112698;0.698258;-0.858496;-0.530145;0.128774;2.86
0.704657;0.0565128;0.112698;0.698258;-0.858496;-0.530145;0.128774;2.865
0.708266;0.0715037;0.124618;0.69117;-0.859218;-0.553891;0.129581;2.87
0.708266;0.0715037;0.124618;0.69117;-0.859218;-0.553891;0.129581;2.875
0.708266;0.0715037;0.124618;0.69117;-0.859218;-0.553891;0.129581;2.88
0.710213;0.0832892;0.135892;0.685707;-0.859456;-0.575479;0.130302;2.885
0.710213;0.0832892;0.135892;0.685707;-0.859456;-0.575479;0.130302;2.89
0.710213;0.0832892;0.135892;0.685707;-0.859456;-0.575479;0.130302;2.895
0.709498;0.0903886;0.148208;0.682991;-0.859178;-0.594954;0.131002;2.9
0.709498;0.0903886;0.148208;0.682991;-0.859178;-0.594954;0.131002;2.905
0.709498;0.0903886;0.148208;0.682991;-0.859178;-0.594954;0.131002;2.91
0.709498;0.0903886;0.148208;0.682991;-0.859178;-0.594954;0.131002;2.915
0.707312;0.0942989;0.159907;0.68209;-0.858416;-0.612272;0.131617;2.92
0.707312;0.0942989;0.159907;0.68209;-0.858416;-0.612272;0.131617;2.925
0.707312;0.0942989;0.159907;0.68209;-0.858416;-0.612272;0.131617;2.93
0.707312;0.0942989;0.159907;0.68209;-0.858416;-0.612272;0.131617;2.935
0.705565;0.0964285;0.16746;0.681789;-0.857101;-0.626763;0.131405;2.94
0.705565;0.0964285;0.16746;0.681789;-0.857101;-0.626763;0.131405;2.945
