XsensPlugin_processed_segments_Left Foot_pose_qw;XsensPlugin_processed_segments_Left Foot_pose_qx;XsensPlugin_processed_segments_Left Foot_pose_qy;XsensPlugin_processed_segments_Left Foot_pose_qz;XsensPlugin_processed_segments_Left Foot_pose_tx;XsensPlugin_processed_segments_Left Foot_pose_ty;XsensPlugin_processed_segments_Left Foot_pose_tz;t
0.662752;-0.00439449;0.0127612;-0.748718;1.8667;-1.96903;0.103267;11.14
0.662752;-0.00439449;0.0127612;-0.748718;1.8667;-1.96903;0.103267;11.145
0.662729;-0.00414315;0.0126012;-0.748742;1.86667;-1.96895;0.103264;11.15
0.662729;-0.00414315;0.0126012;-0.748742;1.86667;-1.96895;0.103264;11.155
0.662729;-0.00414315;0.0126012;-0.748742;1.86667;-1.96895;0.103264;11.16
0.662729;-0.00414315;0.0126012;-0.748742;1.86667;-1.96895;0.103264;11.165
0.662709;-0.00384691;0.0124282;-0.748764;1.86664;-1.96887;0.103263;11.17
0.662709;-0.00384691;0.0124282;-0.748764;1.86664;-1.96887;0.103263;11.175
0.662709;-0.00384691;0.0124282;-0.748764;1.86664;-1.96887;0.103263;11.18
0.662709;-0.00384691;0.0124282;-0.748764;1.86664;-1.96887;0.103263;11.185
0.662687;-0.00369244;0.0122149;-0.748788;1.86664;-1.9688;0.103277;11.19
0.662687;-0.00369244;0.0122149;-0.748788;1.86664;-1.9688;0.103277;11.195
0.662657;-0.00376891;0.0119418;-0.748818;1.86668;-1.96875;0.103311;11.2
0.662657;-0.00376891;0.0119418;-0.748818;1.86668;-1.96875;0.103311;11.205
0.662657;-0.00376891;0.0119418;-0.748818;1.86668;-1.96875;0.103311;11.21
0.662657;-0.00376891;0.0119418;-0.748818;1.86668;-1.96875;0.103311;11.215
0.662625;-0.00398714;0.0116284;-0.748851;1.86675;-1.96872;0.10336;11.22
0.662625;-0.00398714;0.0116284;-0.748851;1.86675;-1.96872;0.10336;11.225
0.662625;-0.00398714;0.0116284;-0.748851;1.86675;-1.96872;0.10336;11.23
0.662625;-0.00398714;0.0116284;-0.748851;1.86675;-1.96872;0.10336;11.235
0.662598;-0.0042663;0.0113062;-0.748878;1.86684;-1.96869;0.103417;11.24
0.662598;-0.0042663;0.0113062;-0.748878;1.86684;-1.96869;0.103417;11.245
0.662577;-0.00460217;0.010987;-0.748899;1.86693;-1.96867;0.103484;11.25
0.662577;-0.00460217;0.010987;-0.748899;1.86693;-1.96867;0.103484;11.255
0.662577;-0.00460217;0.010987;-0.748899;1.86693;-1.96867;0.103484;11.26
0.662577;-0.00460217;0.010987;-0.748899;1.86693;-1.96867;0.103484;11.265
0.662563;-0.00499897;0.010659;-0.748914;1.86703;-1.96866;0.103559;11.27
0.662563;-0.00499897;0.010659;-0.748914;1.86703;-1.96866;0.103559;11.275
0.662563;-0.00499897;0.010659;-0.748914;1.86703;-1.96866;0.103559;11.28
0.662561;-0.00538841;0.0103182;-0.748917;1.86714;-1.96864;0.103622;11.285
0.662561;-0.00538841;0.0103182;-0.748917;1.86714;-1.96864;0.103622;11.29
0.662561;-0.00538841;0.0103182;-0.748917;1.86714;-1.96864;0.103622;11.295
0.662561;-0.00538841;0.0103182;-0.748917;1.86714;-1.96864;0.103622;11.3
0.66258;-0.00577622;0.00993973;-0.748903;1.86725;-1.96862;0.10367;11.305
0.66258;-0.00577622;0.00993973;-0.748903;1.86725;-1.96862;0.10367;11.31
0.66258;-0.00577622;0.00993973;-0.748903;1.86725;-1.96862;0.10367;11.315
0.662611;-0.00615667;0.00954845;-0.748878;1.86737;-1.96859;0.103707;11.32
0.662611;-0.00615667;0.00954845;-0.748878;1.86737;-1.96859;0.103707;11.325
0.662611;-0.00615667;0.00954845;-0.748878;1.86737;-1.96859;0.103707;11.33
0.662611;-0.00615667;0.00954845;-0.748878;1.86737;-1.96859;0.103707;11.335
0.66264;-0.00644436;0.00921466;-0.748853;1.86746;-1.96857;0.103728;11.34
0.66264;-0.00644436;0.00921466;-0.748853;1.86746;-1.96857;0.103728;11.345
0.66264;-0.00644436;0.00921466;-0.748853;1.86746;-1.96857;0.103728;11.35
0.662658;-0.00659678;0.00898981;-0.748839;1.86752;-1.96854;0.103728;11.355
0.662658;-0.00659678;0.00898981;-0.748839;1.86752;-1.96854;0.103728;11.36
0.662658;-0.00659678;0.00898981;-0.748839;1.86752;-1.96854;0.103728;11.365
0.662675;-0.00665645;0.00882245;-0.748826;1.86756;-1.9685;0.103713;11.37
0.662675;-0.00665645;0.00882245;-0.748826;1.86756;-1.9685;0.103713;11.375
0.662675;-0.00665645;0.00882245;-0.748826;1.86756;-1.9685;0.103713;11.38
0.662675;-0.00665645;0.00882245;-0.748826;1.86756;-1.9685;0.103713;11.385
